;;;;;Coeff :;1,00;Supp. :;0,00
Handle;Calque;Type d'Objet;Longueur (AutoCAD);Longueur (Corrigée)
3C172C;UBS-300-Tranchée 60cm;Polyligne;19,43;=$G$1*($I$1+D269)
3FF6D2;UBS-300-Tranchée 60cm;Polyligne;22,36;=$G$1*($I$1+D270)
3FF6DD;UBS-300-Tranchée 60cm;Polyligne;22,47;=$G$1*($I$1+D271)
EDD893;UBS-300-Tranchée 60cm;Polyligne;22,48;=$G$1*($I$1+D272)
EDD87F;UBS-300-Tranchée 60cm;Polyligne;22,48;=$G$1*($I$1+D273)
3FF6DC;UBS-300-Tranchée 60cm;Polyligne;22,48;=$G$1*($I$1+D274)
EDD88F;UBS-300-Tranchée 60cm;Polyligne;23,29;=$G$1*($I$1+D275)
EDD88E;UBS-300-Tranchée 60cm;Polyligne;33,26;=$G$1*($I$1+D276)
3FF6DB;UBS-300-Tranchée 60cm;Polyligne;33,55;=$G$1*($I$1+D277)
EDD888;UBS-300-Tranchée 60cm;Polyligne;44,80;=$G$1*($I$1+D278)
EDD88A;UBS-300-Tranchée 60cm;Polyligne;44,83;=$G$1*($I$1+D279)
EDD886;UBS-300-Tranchée 60cm;Polyligne;44,93;=$G$1*($I$1+D280)
3FF6D5;UBS-300-Tranchée 60cm;Polyligne;45,86;=$G$1*($I$1+D281)
EDD88C;UBS-300-Tranchée 60cm;Polyligne;53,95;=$G$1*($I$1+D282)
3FF6DA;UBS-300-Tranchée 60cm;Polyligne;54,11;=$G$1*($I$1+D283)
3FF718;UBS-300-Tranchée 60cm;Polyligne;54,46;=$G$1*($I$1+D284)
3FF6D8;UBS-300-Tranchée 60cm;Polyligne;60,32;=$G$1*($I$1+D285)
EE53D9;UBS-300-Tranchée 60cm;Polyligne;67,19;=$G$1*($I$1+D286)
3FF71A;UBS-300-Tranchée 60cm;Polyligne;67,19;=$G$1*($I$1+D287)
EE53DA;UBS-300-Tranchée 60cm;Polyligne;78,53;=$G$1*($I$1+D288)
3FF719;UBS-300-Tranchée 60cm;Polyligne;78,53;=$G$1*($I$1+D289)
EDD91E;UBS-300-Tranchée 80cm;Polyligne;2,00;=$G$1*($I$1+D290)
F14BF7;UBS-300-Tranchée 80cm;Polyligne;11,20;=$G$1*($I$1+D291)
EDD88B;UBS-300-Tranchée 80cm;Polyligne;11,28;=$G$1*($I$1+D292)
3FF6DE;UBS-300-Tranchée 80cm;Polyligne;33,40;=$G$1*($I$1+D293)
EDD891;UBS-300-Tranchée 80cm;Polyligne;33,71;=$G$1*($I$1+D294)
3FF4CE;UBS-300-Tranchée 80cm;Polyligne;36,04;=$G$1*($I$1+D295)
3FF6CD;UBS-300-Tranchée 80cm;Polyligne;90,38;=$G$1*($I$1+D296)
3FF6CF;UBS-300-Tranchée 80cm;Polyligne;90,46;=$G$1*($I$1+D297)
3FF6D0;UBS-300-Tranchée 80cm;Polyligne;90,50;=$G$1*($I$1+D298)
3FF4CD;UBS-300-Tranchée 80cm;Polyligne;90,55;=$G$1*($I$1+D299)
3FF6C9;UBS-300-Tranchée 80cm;Polyligne;96,41;=$G$1*($I$1+D300)
3FF6CA;UBS-300-Tranchée 80cm;Polyligne;96,45;=$G$1*($I$1+D301)
