;;;;;Coeff :;1,00;Supp. :;0,00
Handle;Calque;Type d'Objet;Longueur (AutoCAD);Longueur (Corrigée)
EDFFE1;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D63)
EDFFE0;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D64)
EDFFDF;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D65)
EDFFDE;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D66)
EDFFDD;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D67)
EDFFDC;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D68)
EDFFDB;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D69)
EDFFDA;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D70)
EDFFD9;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D71)
EDFFD8;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D72)
EDFFD7;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D73)
EDFFD6;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D74)
EDFFD5;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D75)
EDFFD4;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D76)
EDFFD3;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D77)
EDFFD2;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D78)
EDFFD1;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D79)
EDFFD0;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D80)
EDFFCF;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D81)
EDFFCE;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D82)
EDFFCD;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D83)
EDFFCC;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D84)
EDFFCA;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D85)
EDFFC9;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D86)
EDFFC8;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D87)
EDFFC7;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D88)
EDFFC6;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D89)
EDFFC5;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D90)
EDFFC4;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D91)
EDFFC3;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D92)
EDFFC2;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D93)
EDFFC1;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D94)
EDFFC0;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D95)
EDFFBF;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D96)
