Handle;Block;Attribute;Matricule;X;Y;Z;Altitude;Delta
'42456;TCPOINT;MAT;9571;1491765,97;3238385,32;40,55;40,55;0,00
'4232A;TCPOINT;MAT;9496;1491760,95;3238405,31;40,55;40,55;0,00
'41B4E;TCPOINT;MAT;8993;1491730,93;3238410,27;0,00;40,55;40,55
'419EA;TCPOINT;MAT;8904;1491725,99;3238370,26;0,00;40,55;40,55
'419CA;TCPOINT;MAT;8896;1491725,93;3238410,26;0,00;40,55;40,55
'4151A;TCPOINT;MAT;8596;1491710,94;3238405,24;0,00;40,55;40,55
'413AE;TCPOINT;MAT;8505;1491705,96;3238390,23;0,00;40,55;40,55
'42D76;TCPOINT;MAT;10155;1491825,98;3238390,40;40,56;40,56;0,00
'42C6A;TCPOINT;MAT;10088;1491815,98;3238390,39;40,56;40,56;0,00
'4282E;TCPOINT;MAT;9817;1491785,97;3238390,34;40,56;40,56;0,00
'42822;TCPOINT;MAT;9814;1491785,95;3238405,35;40,56;40,56;0,00
'42746;TCPOINT;MAT;9759;1491780,96;3238395,34;40,56;40,56;0,00
'42656;TCPOINT;MAT;9699;1491775,96;3238395,33;40,56;40,56;0,00
'41F86;TCPOINT;MAT;9263;1491745,94;3238405,29;0,00;40,56;40,56
'41E2E;TCPOINT;MAT;9177;1491740,94;3238405,28;0,00;40,56;40,56
'419C6;TCPOINT;MAT;8895;1491725,93;3238415,26;0,00;40,56;40,56
'41692;TCPOINT;MAT;8690;1491715,94;3238405,25;0,00;40,56;40,56
'865B;TCPOINT;MAT;135;1491876,23;3238380,15;0,00;40,56;40,56
'42DDA;TCPOINT;MAT;10180;1491830,94;3238415,41;40,57;40,57;0,00
'42B22;TCPOINT;MAT;10006;1491805,94;3238415,38;40,57;40,57;0,00
'429C2;TCPOINT;MAT;9918;1491795,96;3238400,36;40,57;40,57;0,00
'429BE;TCPOINT;MAT;9917;1491795,95;3238405,36;40,57;40,57;0,00
'428EE;TCPOINT;MAT;9865;1491790,94;3238415,36;40,57;40,57;0,00
'428EA;TCPOINT;MAT;9864;1491790,93;3238420,36;40,57;40,57;0,00
'42736;TCPOINT;MAT;9755;1491780,93;3238415,34;40,57;40,57;0,00
'4255A;TCPOINT;MAT;9636;1491770,96;3238395,32;40,57;40,57;0,00
'42202;TCPOINT;MAT;9422;1491755,94;3238405,30;40,57;40,57;0,00
'420DE;TCPOINT;MAT;9349;1491750,98;3238380,29;0,00;40,57;40,57
'41E36;TCPOINT;MAT;9179;1491740,96;3238395,28;0,00;40,57;40,57
'41CDE;TCPOINT;MAT;9093;1491735,98;3238375,27;0,00;40,57;40,57
'41CCE;TCPOINT;MAT;9089;1491735,96;3238395,27;0,00;40,57;40,57
'419D2;TCPOINT;MAT;8898;1491725,95;3238400,26;0,00;40,57;40,57
'41522;TCPOINT;MAT;8598;1491710,95;3238395,24;0,00;40,57;40,57
'91797;TCPOINT;MAT;1379;1491703,16;3238339,35;0,00;40,58;40,58
'43012;TCPOINT;MAT;10322;1491865,98;3238390,46;40,58;40,58;0,00
'42EBE;TCPOINT;MAT;10237;1491840,99;3238385,42;40,58;40,58;0,00
'42CF6;TCPOINT;MAT;10123;1491820,98;3238390,39;40,58;40,58;0,00
'42CDE;TCPOINT;MAT;10117;1491820,93;3238420,40;40,58;40,58;0,00
'42B2E;TCPOINT;MAT;10009;1491805,96;3238400,37;40,58;40,58;0,00
'42A76;TCPOINT;MAT;9963;1491800,94;3238410,37;40,58;40,58;0,00
'4273A;TCPOINT;MAT;9756;1491780,94;3238410,34;40,58;40,58;0,00
'420CE;TCPOINT;MAT;9345;1491750,95;3238400,30;0,00;40,58;40,58
'41F8E;TCPOINT;MAT;9265;1491745,96;3238395,29;0,00;40,58;40,58
'41B5A;TCPOINT;MAT;8996;1491730,96;3238395,27;0,00;40,58;40,58
'42F9E;TCPOINT;MAT;10293;1491855,97;3238400,44;40,59;40,59;0,00
'42B26;TCPOINT;MAT;10007;1491805,95;3238410,38;40,59;40,59;0,00
'4282A;TCPOINT;MAT;9816;1491785,96;3238395,35;40,59;40,59;0,00
'4273E;TCPOINT;MAT;9757;1491780,95;3238405,34;40,59;40,59;0,00
'4265A;TCPOINT;MAT;9700;1491775,97;3238390,33;40,59;40,59;0,00
'4244E;TCPOINT;MAT;9569;1491765,96;3238395,32;40,59;40,59;0,00
'42206;TCPOINT;MAT;9423;1491755,95;3238400,30;40,59;40,59;0,00
'41B62;TCPOINT;MAT;8998;1491730,97;3238385,27;0,00;40,59;40,59
'419D6;TCPOINT;MAT;8899;1491725,95;3238395,26;0,00;40,59;40,59
'41842;TCPOINT;MAT;8798;1491720,96;3238390,25;0,00;40,59;40,59
'416AE;TCPOINT;MAT;8697;1491715,99;3238370,24;0,00;40,59;40,59
'413BA;TCPOINT;MAT;8508;1491705,98;3238375,23;0,00;40,59;40,59
'90DF3;TCPOINT;MAT;762;1491635,39;3238494,67;0,00;40,60;40,60
'42FDE;TCPOINT;MAT;10309;1491860,97;3238395,45;40,60;40,60;0,00
'4281A;TCPOINT;MAT;9812;1491785,94;3238415,35;40,60;40,60;0,00
'42646;TCPOINT;MAT;9695;1491775,93;3238415,33;40,60;40,60;0,00
'41E32;TCPOINT;MAT;9178;1491740,95;3238400,28;0,00;40,60;40,60
'419DA;TCPOINT;MAT;8900;1491725,96;3238390,26;0,00;40,60;40,60
'41852;TCPOINT;MAT;8802;1491720,99;3238370,25;0,00;40,60;40,60
'8627;TCPOINT;MAT;122;1491884,20;3238376,95;0,00;40,60;40,60
'42E46;TCPOINT;MAT;10207;1491835,94;3238415,42;40,61;40,61;0,00
'42C66;TCPOINT;MAT;10087;1491815,97;3238395,39;40,61;40,61;0,00
'42BD2;TCPOINT;MAT;10050;1491810,97;3238395,38;40,61;40,61;0,00
'42BCE;TCPOINT;MAT;10049;1491810,96;3238400,38;40,61;40,61;0,00
'41F92;TCPOINT;MAT;9266;1491745,96;3238390,29;0,00;40,61;40,61
'41836;TCPOINT;MAT;8795;1491720,94;3238405,25;0,00;40,61;40,61
'42C56;TCPOINT;MAT;10083;1491815,94;3238415,39;40,62;40,62;0,00
'42B32;TCPOINT;MAT;10010;1491805,97;3238395,37;40,62;40,62;0,00
'42336;TCPOINT;MAT;9499;1491760,97;3238390,31;40,62;40,62;0,00
'42332;TCPOINT;MAT;9498;1491760,96;3238395,31;40,62;40,62;0,00
'41B5E;TCPOINT;MAT;8997;1491730,96;3238390,27;0,00;40,62;40,62
'419DE;TCPOINT;MAT;8901;1491725,97;3238385,26;0,00;40,62;40,62
'41846;TCPOINT;MAT;8799;1491720,97;3238385,25;0,00;40,62;40,62
'416A2;TCPOINT;MAT;8694;1491715,97;3238385,24;0,00;40,62;40,62
'4151E;TCPOINT;MAT;8597;1491710,95;3238400,24;0,00;40,62;40,62
'42F16;TCPOINT;MAT;10259;1491845,99;3238385,43;40,63;40,63;0,00
'42F02;TCPOINT;MAT;10254;1491845,95;3238410,43;40,63;40,63;0,00
'42D62;TCPOINT;MAT;10150;1491825,94;3238415,40;40,63;40,63;0,00
'42CF2;TCPOINT;MAT;10122;1491820,97;3238395,39;40,63;40,63;0,00
'42CE2;TCPOINT;MAT;10118;1491820,94;3238415,40;40,63;40,63;0,00
'42A7A;TCPOINT;MAT;9964;1491800,95;3238405,37;40,63;40,63;0,00
'4255E;TCPOINT;MAT;9637;1491770,97;3238390,32;40,63;40,63;0,00
'41B66;TCPOINT;MAT;8999;1491730,98;3238380,27;0,00;40,63;40,63
'4183E;TCPOINT;MAT;8797;1491720,95;3238395,25;0,00;40,63;40,63
'413B2;TCPOINT;MAT;8506;1491705,97;3238385,23;0,00;40,63;40,63
'42F66;TCPOINT;MAT;10279;1491850,99;3238385,44;40,64;40,64;0,00
'42F5A;TCPOINT;MAT;10276;1491850,97;3238400,44;40,64;40,64;0,00
'42DEE;TCPOINT;MAT;10185;1491830,98;3238390,41;40,64;40,64;0,00
'42B2A;TCPOINT;MAT;10008;1491805,95;3238405,37;40,64;40,64;0,00
'42452;TCPOINT;MAT;9570;1491765,97;3238390,32;40,64;40,64;0,00
'42212;TCPOINT;MAT;9426;1491755,97;3238385,30;40,64;40,64;0,00
'420D2;TCPOINT;MAT;9346;1491750,96;3238395,30;0,00;40,64;40,64
'41526;TCPOINT;MAT;8599;1491710,96;3238390,24;0,00;40,64;40,64
'42EAA;TCPOINT;MAT;10232;1491840,95;3238410,42;40,65;40,65;0,00
'42EA6;TCPOINT;MAT;10231;1491840,94;3238415,43;40,65;40,65;0,00
'42D66;TCPOINT;MAT;10151;1491825,95;3238410,40;40,65;40,65;0,00
'42C5E;TCPOINT;MAT;10085;1491815,95;3238405,39;40,65;40,65;0,00
'4220A;TCPOINT;MAT;9424;1491755,96;3238395,30;40,65;40,65;0,00
'41F9A;TCPOINT;MAT;9268;1491745,98;3238380,29;0,00;40,65;40,65
'41B6A;TCPOINT;MAT;9000;1491730,98;3238375,26;0,00;40,65;40,65
'42CE6;TCPOINT;MAT;10119;1491820,95;3238410,40;40,66;40,66;0,00
'42C5A;TCPOINT;MAT;10084;1491815,95;3238410,39;40,66;40,66;0,00
'41E3A;TCPOINT;MAT;9180;1491740,96;3238390,28;0,00;40,66;40,66
'4184A;TCPOINT;MAT;8800;1491720,97;3238380,25;0,00;40,66;40,66
'4169A;TCPOINT;MAT;8692;1491715,95;3238395,25;0,00;40,66;40,66
'41532;TCPOINT;MAT;8602;1491710,98;3238375,24;0,00;40,66;40,66
'4303E;TCPOINT;MAT;10333;1491870,99;3238385,46;0,00;40,67;40,67
'42FA2;TCPOINT;MAT;10294;1491855,97;3238395,44;40,67;40,67;0,00
'42D72;TCPOINT;MAT;10154;1491825,97;3238395,40;40,67;40,67;0,00
'42BC6;TCPOINT;MAT;10047;1491810,95;3238410,38;40,67;40,67;0,00
'42A7E;TCPOINT;MAT;9965;1491800,96;3238400,37;40,67;40,67;0,00
'4220E;TCPOINT;MAT;9425;1491755,97;3238390,30;40,67;40,67;0,00
'420D6;TCPOINT;MAT;9347;1491750,97;3238390,29;0,00;40,67;40,67
'416A6;TCPOINT;MAT;8695;1491715,97;3238380,24;0,00;40,67;40,67
'4169E;TCPOINT;MAT;8693;1491715,96;3238390,25;0,00;40,67;40,67
'4152A;TCPOINT;MAT;8600;1491710,97;3238385,24;0,00;40,67;40,67
'413B6;TCPOINT;MAT;8507;1491705,97;3238380,23;0,00;40,67;40,67
'864B;TCPOINT;MAT;131;1491857,30;3238381,33;40,67;40,67;0,00
'9178B;TCPOINT;MAT;1376;1491709,62;3238340,53;0,00;40,68;40,68
'42E4A;TCPOINT;MAT;10208;1491835,95;3238410,42;40,68;40,68;0,00
'42C62;TCPOINT;MAT;10086;1491815,96;3238400,39;40,68;40,68;0,00
'416AA;TCPOINT;MAT;8696;1491715,98;3238375,24;0,00;40,68;40,68
'4305A;TCPOINT;MAT;10340;1491875,99;3238385,47;0,00;40,69;40,69
'42E4E;TCPOINT;MAT;10209;1491835,96;3238405,42;40,69;40,69;0,00
'42DE2;TCPOINT;MAT;10182;1491830,96;3238405,41;40,69;40,69;0,00
'42DDE;TCPOINT;MAT;10181;1491830,95;3238410,41;40,69;40,69;0,00
'41CD2;TCPOINT;MAT;9090;1491735,96;3238390,27;0,00;40,69;40,69
'4183A;TCPOINT;MAT;8796;1491720,95;3238400,25;0,00;40,69;40,69
'4152E;TCPOINT;MAT;8601;1491710,97;3238380,24;0,00;40,69;40,69
'43016;TCPOINT;MAT;10323;1491865,99;3238385,46;40,70;40,70;0,00
'42F06;TCPOINT;MAT;10255;1491845,96;3238405,43;40,70;40,70;0,00
'42BCA;TCPOINT;MAT;10048;1491810,95;3238405,38;40,70;40,70;0,00
'41CDA;TCPOINT;MAT;9092;1491735,98;3238380,27;0,00;40,70;40,70
'419E6;TCPOINT;MAT;8903;1491725,98;3238375,26;0,00;40,70;40,70
'9167F;TCPOINT;MAT;1309;1491673,74;3238360,91;0,00;40,71;40,71
'42D6A;TCPOINT;MAT;10152;1491825,96;3238405,40;40,71;40,71;0,00
'41696;TCPOINT;MAT;8691;1491715,95;3238400,25;0,00;40,71;40,71
'42DE6;TCPOINT;MAT;10183;1491830,96;3238400,41;40,72;40,72;0,00
'42CEA;TCPOINT;MAT;10120;1491820,95;3238405,40;40,72;40,72;0,00
'41CD6;TCPOINT;MAT;9091;1491735,97;3238385,27;0,00;40,72;40,72
'419E2;TCPOINT;MAT;8902;1491725,98;3238380,26;0,00;40,72;40,72
'42EBA;TCPOINT;MAT;10236;1491840,98;3238390,42;40,73;40,73;0,00
'42E5A;TCPOINT;MAT;10212;1491835,98;3238390,41;40,73;40,73;0,00
'42E52;TCPOINT;MAT;10210;1491835,96;3238400,42;40,73;40,73;0,00
'42DEA;TCPOINT;MAT;10184;1491830,97;3238395,41;40,73;40,73;0,00
'4184E;TCPOINT;MAT;8801;1491720,98;3238375,25;0,00;40,73;40,73
'42CEE;TCPOINT;MAT;10121;1491820,96;3238400,40;40,74;40,74;0,00
'41E42;TCPOINT;MAT;9182;1491740,98;3238380,28;0,00;40,74;40,74
'42FE2;TCPOINT;MAT;10310;1491860,98;3238390,45;40,75;40,75;0,00
'42D6E;TCPOINT;MAT;10153;1491825,96;3238400,40;40,75;40,75;0,00
'90DAF;TCPOINT;MAT;745;1491630,96;3238504,46;0,00;40,76;40,76
'42FAA;TCPOINT;MAT;10296;1491855,99;3238385,44;40,76;40,76;0,00
'42F12;TCPOINT;MAT;10258;1491845,98;3238390,43;40,76;40,76;0,00
'42EAE;TCPOINT;MAT;10233;1491840,96;3238405,42;40,76;40,76;0,00
'866B;TCPOINT;MAT;139;1491882,61;3238382,23;0,00;40,76;40,76
'90E4B;TCPOINT;MAT;784;1491653,41;3238432,89;0,00;40,77;40,77
'42F62;TCPOINT;MAT;10278;1491850,98;3238390,44;40,77;40,77;0,00
'42EB2;TCPOINT;MAT;10234;1491840,96;3238400,42;40,77;40,77;0,00
'42F0A;TCPOINT;MAT;10256;1491845,97;3238400,43;40,79;40,79;0,00
'420DA;TCPOINT;MAT;9348;1491750,97;3238385,29;0,00;40,79;40,79
'41E3E;TCPOINT;MAT;9181;1491740,97;3238385,28;0,00;40,79;40,79
'861F;TCPOINT;MAT;120;1491881,44;3238376,02;0,00;40,79;40,79
'9162B;TCPOINT;MAT;1288;1491750,53;3238367,80;0,00;40,80;40,80
'42FE6;TCPOINT;MAT;10311;1491860,99;3238385,45;40,80;40,80;0,00
'8677;TCPOINT;MAT;142;1491884,23;3238382,28;0,00;40,80;40,80
'42FA6;TCPOINT;MAT;10295;1491855,98;3238390,44;40,81;40,81;0,00
'42F5E;TCPOINT;MAT;10277;1491850,97;3238395,44;40,81;40,81;0,00
'42E56;TCPOINT;MAT;10211;1491835,97;3238395,42;40,83;40,83;0,00
'8673;TCPOINT;MAT;141;1491883,66;3238381,89;0,00;40,83;40,83
'41F96;TCPOINT;MAT;9267;1491745,97;3238385,29;0,00;40,84;40,84
'866F;TCPOINT;MAT;140;1491883,25;3238381,78;0,00;40,84;40,84
'8667;TCPOINT;MAT;138;1491881,04;3238382,23;0,00;40,84;40,84
'8653;TCPOINT;MAT;133;1491864,97;3238380,25;40,85;40,85;0,00
'4306E;TCPOINT;MAT;10345;1491880,99;3238385,48;0,00;40,86;40,86
'8663;TCPOINT;MAT;137;1491879,38;3238381,20;0,00;40,86;40,86
'864F;TCPOINT;MAT;132;1491861,47;3238378,54;40,86;40,86;0,00
'8623;TCPOINT;MAT;121;1491882,36;3238376,91;0,00;40,86;40,86
'42EB6;TCPOINT;MAT;10235;1491840,97;3238395,42;40,87;40,87;0,00
'9173F;TCPOINT;MAT;1357;1491716,58;3238348,16;0,00;40,89;40,89
'91753;TCPOINT;MAT;1362;1491710,98;3238346,74;0,00;40,91;40,91
'42F0E;TCPOINT;MAT;10257;1491845,97;3238395,43;40,92;40,92;0,00
'8603;TCPOINT;MAT;113;1491801,57;3238375,09;40,92;40,92;0,00
'90DF7;TCPOINT;MAT;763;1491633,53;3238494,08;0,00;40,97;40,97
'8657;TCPOINT;MAT;134;1491867,86;3238381,16;0,00;40,98;40,98
'9174F;TCPOINT;MAT;1361;1491717,12;3238346,95;0,00;40,99;40,99
'91683;TCPOINT;MAT;1310;1491674,57;3238360,93;0,00;41,01;41,01
'9130F;TCPOINT;MAT;1089;1491667,92;3238379,27;0,00;41,05;41,05
'90DEB;TCPOINT;MAT;760;1491635,72;3238496,28;0,00;41,09;41,09
'861B;TCPOINT;MAT;119;1491873,35;3238374,03;0,00;41,10;41,10
'8617;TCPOINT;MAT;118;1491866,95;3238373,41;0,00;41,12;41,12
'90E37;TCPOINT;MAT;779;1491650,76;3238439,51;0,00;41,16;41,16
'9175F;TCPOINT;MAT;1365;1491711,54;3238345,37;0,00;41,17;41,17
'90E3F;TCPOINT;MAT;781;1491651,60;3238436,68;0,00;41,18;41,18
'8607;TCPOINT;MAT;114;1491810,46;3238374,21;41,21;41,21;0,00
'91383;TCPOINT;MAT;1118;1491667,89;3238378,55;0,00;41,31;41,31
'8613;TCPOINT;MAT;117;1491856,75;3238373,12;41,36;41,36;0,00
'9167B;TCPOINT;MAT;1308;1491740,55;3238361,40;0,00;41,42;41,42
'9165B;TCPOINT;MAT;1300;1491739,94;3238363,98;0,00;41,43;41,43
'91247;TCPOINT;MAT;1039;1491668,71;3238381,06;0,00;41,44;41,44
'91763;TCPOINT;MAT;1366;1491714,97;3238345,32;0,00;41,53;41,53
'90EBB;TCPOINT;MAT;812;1491661,93;3238398,53;0,00;41,53;41,53
'91707;TCPOINT;MAT;1343;1491723,98;3238354,94;0,00;41,59;41,59
'91613;TCPOINT;MAT;1282;1491753,32;3238368,44;41,60;41,60;0,00
'91697;TCPOINT;MAT;1315;1491676,50;3238359,92;0,00;41,62;41,62
'90E3B;TCPOINT;MAT;780;1491652,62;3238437,73;0,00;41,62;41,62
'90E33;TCPOINT;MAT;778;1491652,27;3238439,73;0,00;41,63;41,63
'90EEF;TCPOINT;MAT;825;1491661,75;3238393,88;0,00;41,64;41,64
'90ECB;TCPOINT;MAT;816;1491661,46;3238396,88;0,00;41,66;41,66
'90DB3;TCPOINT;MAT;746;1491633,93;3238503,88;0,00;41,66;41,66
'860B;TCPOINT;MAT;115;1491823,44;3238373,58;41,66;41,66;0,00
'860F;TCPOINT;MAT;116;1491841,75;3238373,10;41,68;41,68;0,00
'90DBB;TCPOINT;MAT;748;1491633,75;3238503,31;0,00;41,70;41,70
'9166F;TCPOINT;MAT;1305;1491742,74;3238362,61;0,00;41,74;41,74
'91123;TCPOINT;MAT;966;1491821,94;3238383,34;41,75;41,75;0,00
'91113;TCPOINT;MAT;962;1491794,53;3238383,25;41,76;41,76;0,00
'91717;TCPOINT;MAT;1347;1491725,57;3238354,36;0,00;41,77;41,77
'91687;TCPOINT;MAT;1311;1491733,96;3238360,98;0,00;41,77;41,77
'91027;TCPOINT;MAT;903;1491815,97;3238385,51;41,81;41,81;0,00
'91157;TCPOINT;MAT;979;1491670,31;3238382,50;0,00;41,83;41,83
'911CF;TCPOINT;MAT;1009;1491672,31;3238381,75;0,00;41,87;41,87
'9176F;TCPOINT;MAT;1369;1491708,97;3238344,74;0,00;41,88;41,88
'91673;TCPOINT;MAT;1306;1491738,13;3238362,39;0,00;41,88;41,88
'90DC7;TCPOINT;MAT;751;1491631,75;3238499,87;0,00;41,88;41,88
'9164F;TCPOINT;MAT;1297;1491745,53;3238364,84;0,00;41,90;41,90
'90E5B;TCPOINT;MAT;788;1491656,87;3238426,10;0,00;41,91;41,91
'916BF;TCPOINT;MAT;1325;1491738,31;3238358,21;0,00;41,94;41,94
'90DAB;TCPOINT;MAT;744;1491632,74;3238504,67;0,00;41,95;41,95
'91783;TCPOINT;MAT;1374;1491712,80;3238343,37;0,00;41,96;41,96
'9166B;TCPOINT;MAT;1304;1491734,31;3238363,03;0,00;41,97;41,97
'9113B;TCPOINT;MAT;972;1491782,56;3238383,09;41,97;41,97;0,00
'90DC3;TCPOINT;MAT;750;1491635,53;3238500,68;0,00;41,98;41,98
'9164B;TCPOINT;MAT;1296;1491738,32;3238365,17;0,00;42,01;42,01
'916A7;TCPOINT;MAT;1319;1491734,55;3238359,35;0,00;42,07;42,07
'91693;TCPOINT;MAT;1314;1491738,51;3238360,24;0,00;42,09;42,09
'91653;TCPOINT;MAT;1298;1491743,68;3238364,64;0,00;42,10;42,10
'91677;TCPOINT;MAT;1307;1491735,52;3238362,19;0,00;42,12;42,12
'90EB7;TCPOINT;MAT;811;1491665,70;3238399,10;0,00;42,12;42,12
'9169F;TCPOINT;MAT;1317;1491738,53;3238359,61;0,00;42,17;42,17
'912CB;TCPOINT;MAT;1072;1491781,15;3238380,07;42,20;42,20;0,00
'9171F;TCPOINT;MAT;1349;1491675,99;3238350,29;0,00;42,22;42,22
'9171B;TCPOINT;MAT;1348;1491676,33;3238351,11;0,00;42,22;42,22
'9111F;TCPOINT;MAT;965;1491819,29;3238383,33;42,22;42,22;0,00
'90E63;TCPOINT;MAT;790;1491659,68;3238425,12;0,00;42,23;42,23
'91777;TCPOINT;MAT;1371;1491713,33;3238343,77;0,00;42,26;42,26
'9169B;TCPOINT;MAT;1316;1491735,32;3238359,61;0,00;42,26;42,26
'9177B;TCPOINT;MAT;1372;1491711,35;3238343,61;0,00;42,27;42,27
'916B7;TCPOINT;MAT;1323;1491732,53;3238358,40;0,00;42,29;42,29
'910F3;TCPOINT;MAT;954;1491818,52;3238383,67;42,30;42,30;0,00
'9175B;TCPOINT;MAT;1364;1491712,58;3238345,53;0,00;42,31;42,31
'91773;TCPOINT;MAT;1370;1491710,19;3238343,98;0,00;42,32;42,32
'9176B;TCPOINT;MAT;1368;1491713,37;3238345,22;0,00;42,32;42,32
'90EBF;TCPOINT;MAT;813;1491663,50;3238398,51;0,00;42,33;42,33
'91713;TCPOINT;MAT;1346;1491673,97;3238354,73;0,00;42,36;42,36
'91203;TCPOINT;MAT;1022;1491818,78;3238381,76;42,36;42,36;0,00
'9110B;TCPOINT;MAT;960;1491784,29;3238383,26;42,36;42,36;0,00
'90E7B;TCPOINT;MAT;796;1491659,88;3238423,32;0,00;42,36;42,36
'90DB7;TCPOINT;MAT;747;1491631,92;3238503,70;0,00;42,36;42,36
'912DB;TCPOINT;MAT;1076;1491669,53;3238379,73;0,00;42,39;42,39
'9121B;TCPOINT;MAT;1028;1491817,68;3238381,51;42,39;42,39;0,00
'916DB;TCPOINT;MAT;1332;1491673,40;3238357,13;0,00;42,40;42,40
'916FB;TCPOINT;MAT;1340;1491732,98;3238355,79;0,00;42,41;42,41
'916C3;TCPOINT;MAT;1326;1491731,78;3238357,97;0,00;42,41;42,41
'916AB;TCPOINT;MAT;1320;1491733,59;3238359,24;0,00;42,41;42,41
'91457;TCPOINT;MAT;1171;1491822,98;3238377,16;42,41;42,41;0,00
'912C7;TCPOINT;MAT;1071;1491670,48;3238379,90;0,00;42,41;42,41
'90DE3;TCPOINT;MAT;758;1491635,93;3238498,06;0,00;42,43;42,43
'91333;TCPOINT;MAT;1098;1491781,34;3238379,26;42,44;42,44;0,00
'916F7;TCPOINT;MAT;1339;1491734,18;3238356,01;0,00;42,45;42,45
'916D3;TCPOINT;MAT;1330;1491732,72;3238357,39;0,00;42,45;42,45
'916BB;TCPOINT;MAT;1324;1491734,36;3238358,39;0,00;42,46;42,46
'916AF;TCPOINT;MAT;1321;1491729,35;3238358,81;0,00;42,46;42,46
'9168B;TCPOINT;MAT;1312;1491736,13;3238360,57;0,00;42,48;42,48
'911CB;TCPOINT;MAT;1008;1491669,87;3238381,71;0,00;42,48;42,48
'91173;TCPOINT;MAT;986;1491780,54;3238382,44;42,48;42,48;0,00
'9109F;TCPOINT;MAT;933;1491817,76;3238384,30;42,49;42,49;0,00
'90E87;TCPOINT;MAT;799;1491660,03;3238422,71;0,00;42,49;42,49
'91847;TCPOINT;MAT;1423;1491697,20;3238331,53;0,00;42,51;42,51
'916C7;TCPOINT;MAT;1327;1491727,32;3238357,35;0,00;42,51;42,51
'90DD3;TCPOINT;MAT;754;1491634,72;3238499,67;0,00;42,54;42,54
'911D7;TCPOINT;MAT;1011;1491780,75;3238381,87;42,55;42,55;0,00
'91537;TCPOINT;MAT;1227;1491772,73;3238374,08;42,56;42,56;0,00
'91303;TCPOINT;MAT;1086;1491794,93;3238379,65;42,56;42,56;0,00
'90EAF;TCPOINT;MAT;809;1491657,43;3238417,74;0,00;42,56;42,56
'916D7;TCPOINT;MAT;1331;1491734,57;3238357,38;0,00;42,57;42,57
'9131B;TCPOINT;MAT;1092;1491816,93;3238379,51;42,58;42,58;0,00
'916E3;TCPOINT;MAT;1334;1491735,19;3238356,60;0,00;42,59;42,59
'913BF;TCPOINT;MAT;1133;1491876,35;3238378,37;0,00;42,60;42,60
'9134B;TCPOINT;MAT;1104;1491671,35;3238378,88;0,00;42,64;42,64
'90EAB;TCPOINT;MAT;808;1491655,43;3238418,12;0,00;42,64;42,64
'90E73;TCPOINT;MAT;794;1491654,08;3238424,11;0,00;42,64;42,64
'912F3;TCPOINT;MAT;1082;1491819,34;3238379,95;42,65;42,65;0,00
'916CB;TCPOINT;MAT;1328;1491728,49;3238357,37;0,00;42,66;42,66
'9126B;TCPOINT;MAT;1048;1491669,49;3238380,92;0,00;42,66;42,66
'90E77;TCPOINT;MAT;795;1491653,46;3238423,28;0,00;42,66;42,66
'916B3;TCPOINT;MAT;1322;1491736,33;3238358,58;0,00;42,67;42,67
'90E67;TCPOINT;MAT;791;1491653,88;3238424,92;0,00;42,67;42,67
'90EC7;TCPOINT;MAT;815;1491665,86;3238397,72;0,00;42,69;42,69
'916CF;TCPOINT;MAT;1329;1491730,52;3238357,36;0,00;42,71;42,71
'912DF;TCPOINT;MAT;1077;1491672,73;3238379,70;0,00;42,71;42,71
'90F07;TCPOINT;MAT;831;1491668,30;3238392,13;0,00;42,72;42,72
'91663;TCPOINT;MAT;1302;1491742,98;3238363,44;0,00;42,74;42,74
'912E3;TCPOINT;MAT;1078;1491778,31;3238379,84;42,79;42,79;0,00
'914FF;TCPOINT;MAT;1213;1491774,08;3238375,29;42,80;42,80;0,00
'90EE3;TCPOINT;MAT;822;1491669,04;3238394,94;0,00;42,81;42,81
'90E6B;TCPOINT;MAT;792;1491655,06;3238424,71;0,00;42,81;42,81
'9165F;TCPOINT;MAT;1301;1491746,30;3238363,84;0,00;42,82;42,82
'91263;TCPOINT;MAT;1046;1491850,38;3238381,33;42,85;42,85;0,00
'916F3;TCPOINT;MAT;1338;1491732,00;3238355,98;0,00;42,89;42,89
'9123B;TCPOINT;MAT;1036;1491878,15;3238381,63;0,00;42,89;42,89
'90DBF;TCPOINT;MAT;749;1491633,50;3238501,05;0,00;42,89;42,89
'9136B;TCPOINT;MAT;1112;1491779,14;3238378,87;42,94;42,94;0,00
'9181F;TCPOINT;MAT;1413;1491698,33;3238332,73;0,00;42,98;42,98
'91807;TCPOINT;MAT;1407;1491699,03;3238333,12;0,00;43,02;43,02
'90F0F;TCPOINT;MAT;833;1491662,36;3238391,72;0,00;43,08;43,08
'90ED3;TCPOINT;MAT;818;1491662,11;3238396,25;0,00;43,11;43,11
'90EEB;TCPOINT;MAT;824;1491669,90;3238394,30;0,00;43,16;43,16
'90ED7;TCPOINT;MAT;819;1491662,11;3238395,74;0,00;43,16;43,16
'913F7;TCPOINT;MAT;1147;1491772,87;3238377,64;43,19;43,19;0,00
'90ECF;TCPOINT;MAT;817;1491663,48;3238396,72;0,00;43,19;43,19
'90E6F;TCPOINT;MAT;793;1491658,24;3238424,47;0,00;43,20;43,20
'9183B;TCPOINT;MAT;1420;1491698,16;3238332,15;0,00;43,24;43,24
'917FB;TCPOINT;MAT;1404;1491681,02;3238333,28;0,00;43,24;43,24
